character1,character2,weight
Freya,Sigrdrifa,6
Alia,Valia,6
Nina Fioravanti,Valia,6
Argentina,Nina Fioravanti,6
Cairbre aep Diared,Yaevinn,6
Caleb Stratton,Percival Schuttenbach,6
Esterad Thyssen,Yennefer,6
Ebbing,Geralt of Rivia,6
Gonzalez,Horm,6
Boatbug,Nenneke,6
Demavend,Sabrina Glevissig,6
Ciri,Codringher,6
Ciri,Connor,6
Dagorad,Elen of Kaedwen,6
Corbett,Elen of Kaedwen,6
Jarre,Ograbek,6
Esterad Thyssen,Lebioda,6
Geralt of Rivia,Vyr,6
Civril,Nohorn,6
Eurneid,Yarpen Zigrin,6
Keira Metz,Sheala de Tancarville,6
Ciri,Leila,6
Ceallach,Dheran,6
Drogodar,Vissegerd,6
Mousesack,Vissegerd,6
Dennis Cranmer,Sheldon Skaggs,6
Ola Harsheim,Til Echrade,6
Ciri,Geoffrey Monck,6
Dalia,Mestvin,6
Bert Brigden,Boreas Mun,6
Dalia,Gaspard,6
Bert Brigden,Two,6
Kennet,Yarpen Zigrin,6
Adalia,Philippa Eilhart,6
Millet,Rience,6
Geralt of Rivia,Munro Bruys,6
Falka,Mistle,6
Ciri,Giambattista,6
Cerro,Goidemar,6
Corbett,Dagorad,6
Foltest,Sabrina Glevissig,6
Ciri,Riannon,6
Goidemar,Philippa Eilhart,6
Adela,Philippa Eilhart,6
Henselt,Julia Abatemarco,6
Eist Tuirseach,Mousesack,6
Filavandrel,Vanadain,6
Dainty,Pike,6
Amavet,Lara Dorren,6
Bert Brigden,Chloe Stitz,6
Adalia,Muriel,6
Foltest,Virfuril,6
Nohorn,Tavik,6
Dagorad,Roegner,6
Cahir,Xarthisius,6
Geralt of Rivia,Seven,6
Hrosvitha,Nenneke,6
Augusta Wagner,Francesca Findabair,6
Augusta Wagner,Tissaia de Vries,6
Geralt of Rivia,Myhrman,6
Foltest,Medell,6
Fodcat,Lord Strept,6
Keira Metz,Lara Dorren,6
Cerro,Riannon,6
Foltest,Keira Metz,6
Ciri,Vattier de Rideaux,6
Regan Dahlberg,Yazon Varda,6
Cerro,Geralt of Rivia,6
Fodcat,Wieldhill,6
Joanna Selborne,Lady,6
Bert Brigden,Dacre Silifant,6
Rainfarn,Windhalm of Attre,6
Flavius Michelet,Lodovico,6
Freixenet,Villentretenmerth,6
Dorregaray,Freixenet,6
Dandelion,Dorregaray,6
Laurelnose,Neville,6
Geoffrey Monck,Geralt of Rivia,6
Dragomir,Trigla,6
Borg,Karelka,6
Bianca,Rejean,6
Gardenia,Herwig,6
Anna Henrietta,Roach,6
Loki,Radcliffe,6
Nenneke,Vesemir,6
Agloval,Villentretenmerth,6
Foltest,Velerad,6
Segelin,Velerad,6
Geralt of Rivia,Mona,6
Fenne,Geralt of Rivia,5
Kashka,Lily,5
Ermellia,Hereward,5
Agloval,Chireadan,5
Galahad,Kashka,5
Herwig,Vesemir,5
Iola the Second,Kelpie,5
Vratimir,Yennefer,5
Laurelnose,Vratimir,5
Beau Berrant,Yennefer,5
Geralt of Rivia,Herwig,5
Kashka,Nenneke,5
Dandelion,Loki,5
Caldemeyn,Yennefer,5
Nivellen,Roach,5
Artaud Terranova,Two,5
Michelet,Toublanc Michelet,5
Lodovico,Toublanc Michelet,5
Aevenien,Tissaia de Vries,5
Rience,Vysogota,5
Pike,Two,5
Mousesack,Rainfarn,5
Niedamir,Vissegerd,5
Foltest,Pavetta,5
Filavandrel,Stefan Skellen,5
Ida,Vattier de Rideaux,5
Giselher,Pinto,5
Kayleigh,Servadio,5
King,Zoltan Chivay,5
Lady,Philippa Eilhart,5
Ciri,Reynart de Bois-Fresnes,5
Ebbing,Vilgefortz,5
Aen Saevherne,Ida,5
Aen Saevherne,Yennefer,5
Foltest,Margarita Laux-Antille,5
Lara Dorren,Vridank,5
Cerro,Vridank,5
Cregennan,Francesca Findabair,5
Aen Saevherne,Philippa Eilhart,5
Lady,Yennefer,5
Calanthe,Vissegerd,5
Ciri,Hrosvitha,5
Bronibor,Jarre,5
Adalia,Riannon,5
Torque,Toruviel,5
Gyllenstiern,Yarpen Zigrin,5
Falka,Yuz Jannowitz,5
Ther Lukokian,Vimme Vivaldi,5
Vespula,Yennefer,5
Herbolth,Istredd,5
Radcliffe,Vilgefortz,5
Vanadain,Vattier de Rideaux,5
Haxo,Rainfarn,5
Drogodar,Two,5
Lucienne,Toruviel,5
Adalia,Sabrina Glevissig,5
Shani,Toublanc Michelet,5
Ervyll,Henselt,5
Dandelion,Shani,5
Cairbre aep Diared,Orestes Kopps,5
Ciri,Til Echrade,5
Audoen,Caldemeyn,5
Galahad,Yennefer,5
Caleb Stratton,Lytta Neyd,5
Dandelion,Kelpie,5
Rience,Vascoigne,5
Hrosvitha,Yennefer,5
Meve,Roegner,5
Goidemar,Yennefer,5
Asa Thjazi,Guthlaf,5
Crach an Craite,Hjalmar,5
Hjalmar,Yennefer,5
Gaspard,Teleri Drouhard,5
Dandelion,Vespula,5
Cahir,Stefan Skellen,5
Milva,Vesemir,5
Ola Harsheim,Stigward,5
Gyllenstiern,Kennet,5
Geralt of Rivia,Vanadain,5
Galarr,Vanadain,5
Ihuarraquax,Lara Dorren,5
Ciri,Ihuarraquax,5
Til Echrade,Torque,5
Aplegatt,Yennefer,5
Ebbing,Margarita Laux-Antille,5
Corbett,Riannon,5
Amavet,Riannon,5
Everett,Vitek,5
Everett,Stran,5
Amavet,Muriel,5
Ciri,Regan Dahlberg,5
Lara Dorren,Margarita Laux-Antille,5
April,Boreas Mun,5
Ebbing,Yennefer,5
Rience,Sabrina Glevissig,5
Codringher,Yennefer,5
Lady,Zoltan Chivay,5
Heimo Kantor,Ralf Blunden,5
Lambert,Yennefer,5
Hector Laabs,Zoltan Chivay,5
Effenberg,Philippa Eilhart,5
Alia,Gonzalez,5
Iola the Second,Yennefer,5
Ervyll,Geralt of Rivia,5
Drogodar,Haxo,5
Drogodar,Pavetta,5
Vilfrid Wenck,Yarpen Zigrin,5
Daniel Etcheverry,Freya,5
Fabio Sachs,Fringilla Vigo,5
Philippa Eilhart,Yarpen Zigrin,5
Ceallach,Roach,5
Emhyr var Emreis,Milva,5
Annika,Yarpen Zigrin,5
Freya,Loki,5
Vesemir,Yennefer,5
Braenn,Dudu,5
Haxo,Something,5
Fifteen,Renfri,5
Akerspaark,Emhyr var Emreis,5
Bronik,Geralt of Rivia,5
Cynthia,Geralt of Rivia,5
Duke,Geralt of Rivia,5
Akeretta,Veverka,5
Duke,Essi Daven,5
Gaudemunda,Tankred Thyssen,5
Juan Pablo Vassermiller,Julia Abatemarco,5
Lebioda,Zuleyka,5
Geralt of Rivia,Kolda,5
Milenka,Zgarba,5
Reef,Two,5
Philippa Eilhart,Tugdual,5
Ciaran aep Dearbh,Milva,5
Lydia van Bredevoort,Yennefer,5
Geralt of Rivia,Ithlinne,5
Akerspaark,Pavetta,5
Aarhenius Krantz,Yennefer,5
Giselher,Kelpie,5
Aillil,Ceallach,5
Braenn,Nenneke,5
Errdil,Vesemir,5
Anna Henrietta,Milva,5
Anna Henrietta,Cahir,5
Condwiramurs,Emhyr var Emreis,5
Condwiramurs,Yennefer,5
Jarre,Tissaia de Vries,5
Fabio Sachs,Yarpen Zigrin,5
Dudu,Gardenia,5
Carduin,Tugdual,5
Fredefalk,Stregobor,5
Francesca Findabair,Geralt of Rivia,5
Geralt of Rivia,Henselt,5
Devereux,Yves,5
Joanna Selborne,Talbot,5
Holofernes,Klaproth,5
Jediah Mekesser,Vattier de Rideaux,5
Esterad Thyssen,Henselt,5
Esterad Thyssen,Gedovius,5
Two,Yurga,5
Nina Fioravanti,Ransant Alvaro,5
Geralt of Rivia,Radmir,5
Milva,Sirssa,5
April,Tissaia de Vries,5
Artaud Terranova,Geralt of Rivia,5
Freya,Yves,5
Devereux,Villentretenmerth,5
Bernika,Evermir,5
Idi,Zavist,5
Dede Vargas,Stigward,5
Rispat La Pointe,Til Echrade,5
Eskel,Roach,5
Lamarr Flaut,Ouder de Wyngalt,5
Daniel Etcheverry,Shani,5
Milva,Vilgefortz,5
Eist Tuirseach,Rainfarn,5
Chloe Stitz,Til Echrade,5
Emhyr var Emreis,Fercart,5
Artaud Terranova,Philippa Eilhart,5
Baron,Fringilla Vigo,5
Alcides Fierabras,Malatesta,5
Dennis Cranmer,Falwick,5
Valdo Marx,Virginia,5
Til Echrade,Yennefer,5
Fringilla Vigo,Margarita Laux-Antille,5
April,Fringilla Vigo,5
Remiz,Vercta,5
Dandelion,Radcliffe,5
Ciri,Dandelion,5
Esteril Thyssen,Gerard,5
Gemma,Gerard,5
Condwiramurs,Two,5
Nenneke,Sh'eenaz,5
Dandelion,Yarpen Zigrin,5
Freya,Radcliffe,5
Caldemeyn,Radcliffe,5
Margarita Laux-Antille,Nenneke,5
Paulie Dahlberg,Vilgefortz,5
Sabrina Glevissig,Vizimir,5
Leo Bonhart,Pennycuick,5
Declan,Pennycuick,5
Rainfarn,Ravix,5
Rumplestelt,Supree,5
Crach an Craite,Roegner,5
Andy Biberveldt,Didi Hofmeier,5
Liam,Ramon Tyrconnel,5
Ervyll,Freixenet,5
Keira Metz,Tissaia de Vries,5
Henselt,Tissaia de Vries,5
Lydia van Bredevoort,Philippa Eilhart,5
Carduin,Sabrina Glevissig,5
Hedwig,Triss Merigold,5
Aine Dermott,Clara,5
Aine Dermott,Emhyr var Emreis,5
Eithné,Morenn,5
Lara Dorren,Vilgefortz,5
Codringher,Vilgefortz,5
Geralt of Rivia,Golan,5
Agloval,Braenn,5
Dandelion,Gardenia,5
Foltest,Hedwig,5
Hedwig,Vizimir,5
Fauve,Geralt of Rivia,5
Lydia van Bredevoort,Rience,5
Bianca,Sabrina Glevissig,5
Caldemeyn,Kelpie,5
Crach an Craite,Ragnar,4
Braenn,Loki,4
Bronibor,Emhyr var Emreis,4
Triss Merigold,Villentretenmerth,4
Agloval,Dandelion,4
Geralt of Rivia,Rulle Asper,4
Ciri,Pennycuick,4
Pavetta,Riannon,4
Emhyr var Emreis,Lara Dorren,4
Venzlav,Viraxas,4
Adam Pangratt,Jarre,4
Supree,Zatret Voruta,4
Ciri,Yurga,4
Chloe Stitz,Esterhazy,4
Dennis Cranmer,Two,4
Nimue,Pavetta,4
Geralt of Rivia,Viraxas,4
Milan,Radovid III,4
Donimir,Sheldon Skaggs,4
Eist Tuirseach,Sheldon Skaggs,4
Andres Vierny,Boreas Mun,4
Chloe Stitz,Falka,4
Ebbing,Esterhazy,4
Cahir,Dyffryn,4
Menno Coehoorn,Sievers,4
Lucas Corto,Yarpen Zigrin,4
Til Echrade,Triss Merigold,4
Dacre Silifant,Dufficey Kriel,4
Cynthia,Essi Daven,4
Nicodemus de Boot,Vysogota,4
Carthia van Canten,Emhyr var Emreis,4
Assire var Anahid,Carthia van Canten,4
Holofernes,Milton,4
Condwiramurs,King,4
King,Nimue,4
Ceallach,Rience,4
Cahir,Carthia van Canten,4
Kamil Ronstetter,Schliemann,4
Dacre Silifant,Falka,4
Axel,Vanielle,4
Axel,Ciri,4
Jarre,Shani,4
Aillil,Mawr,4
Braathens,Ciri,4
Crach an Craite,Windhalm of Attre,4
Paulie Dahlberg,Yannick Brass,4
Regan Dahlberg,Triss Merigold,4
Ebbing,Nenneke,4
Roderick de Novembre,Vysogota,4
Condwiramurs,Ithlinne,4
Guiscard Vermuellen,Julia Abatemarco,4
Veverka,Yennefer,4
Regan Dahlberg,Roach,4
Ciri,Yannick Brass,4
Julia Abatemarco,Vissegerd,4
Dennis Cranmer,Yarpen Zigrin,4
Emhyr var Emreis,Sheldon Skaggs,4
Emhyr var Emreis,Menno Coehoorn,4
Essi Daven,Sh'eenaz,4
Akeretta,Essi Daven,4
Essi Daven,Zelest,4
Esterad Thyssen,Ithlinne,4
Vissegerd,Yennefer,4
Crach an Craite,Riannon,4
Riannon,Yennefer,4
Calanthe,Fitz-Oesterlen,4
Boreas Mun,Talbot,4
Assire var Anahid,Demavend,4
Boratek,Geralt of Rivia,4
Aevenien,Fringilla Vigo,4
Orla,Yennefer,4
Connor,Milva,4
Francesca Findabair,Muriel,4
Everett,Linus Pitt,4
Rience,Shani,4
Fiona,Francesca Findabair,4
Anna Kameny,Ebbing,4
Hamilcar Danza,Isengrim Faoiltiarna,4
Baron,Berengar Leuvaarden,4
Crach an Craite,Vilgefortz,4
Triss Merigold,Two,4
Ciri,Radcliffe,4
Buyvid Backhuysen,Vysogota,4
Crach an Craite,Triss Merigold,4
Foltest,Philippa Eilhart,4
Adela,Amavet,4
Ciri,Fiona,4
Olsen,Vitek,4
Philippa Eilhart,Sigismund Dijkstra,4
Lady,Margarita Laux-Antille,4
Calanthe,Rience,4
Henselt,Vissegerd,4
Vissegerd,Vizimir,4
Dennis Cranmer,Elkana Foster,4
Dennis Cranmer,Vissegerd,4
Rainfarn,Wieldhill,4
Galarr,Torque,4
Joanna Selborne,Stefan Skellen,4
Neratin Ceka,Stigward,4
Geralt of Rivia,Ivo Mirce,4
Geralt of Rivia,Toublanc Michelet,4
Ida,Yennefer,4
Ebbing,Nicodemus de Boot,4
Albert Solpietra,Nicodemus de Boot,4
Alzur,Triss Merigold,4
Cerro,Yarpen Zigrin,4
Asse,Pinto,4
Aevenien,Rience,4
Geralt of Rivia,Pike,4
Ciri,Dede Vargas,4
Dede Vargas,Falka,4
Dacre Silifant,Dede Vargas,4
Dacre Silifant,Rispat La Pointe,4
Falka,Rispat La Pointe,4
Milo Vanderbeck,Nenneke,4
Flavius Michelet,Toublanc Michelet,4
Anna Tiller,Essi Daven,4
Philippa Eilhart,Vascoigne,4
Milva,Philippa Eilhart,4
Foltest,Molnar Giancardi,4
Nimue,Yennefer,4
Milva,Triss Merigold,4
Triss Merigold,Zoltan Chivay,4
Marilka,Renfri,4
Foltest,King,4
Aplegatt,Ciri,4
Torque,Vanadain,4
Anna Tiller,Eredin,4
Eurneid,Kelpie,4
Sandy Frogmorton,Yennefer,4
Ceallach,Zoltan Chivay,4
Geralt of Rivia,Hector Laabs,4
Calanthe,Crach an Craite,4
Aplegatt,Toruviel,4
Milva,Munro Bruys,4
Nimir,Tavik,4
Adam Pangratt,Geralt of Rivia,4
Annika,Loki,4
Lars,Yennefer,4
Kayleigh,Tuzik,4
Tuzik,Zgarba,4
Two,Vyr,4
Lambert,Yarpen Zigrin,4
Dorregaray,Yarpen Zigrin,4
Galahad,King,4
Geoffrey Monck,Krepp,4
Geralt of Rivia,Valdo Marx,4
Cregennan,Vilgefortz,4
Geralt of Rivia,Irion,4
Geralt of Rivia,Zavist,4
Henselt,Yennefer,4
Falka,Seven,4
Artaud Terranova,Emhyr var Emreis,4
Fitz-Oesterlen,Vizimir,4
Nina Fioravanti,Vilgefortz,4
Geoffrey Monck,Gerhart,4
Evermir,Silvena,4
Lutz,Remiz,4
Avallac'h,Ciri,4
Kelpie,Vesemir,4
Auberon Muircetach,Eredin,4
Krepp,Vratimir,4
Calanthe,Paulie Dahlberg,4
Blue,Skomlik,4
Blue,Two,4
Freya,Galahad,4
Dandelion,Sh'eenaz,4
Chireadan,Jarre,4
Carduin,Esterad Thyssen,4
Count Broinne,Emhyr var Emreis,4
Esterad Thyssen,Triss Merigold,4
Esterad Thyssen,Vilgefortz,4
Ettariel,Fauve,4
Freya,Gardenia,4
Fenne,Nivellen,4
Herwig,Radcliffe,4
Ciri,Loki,4
Ciri,Sh'eenaz,4
Annika,Geralt of Rivia,4
Agloval,Herwig,4
Annika,Lily,4
Rulle Asper,Two,4
Vissing,Yennefer,3
Dorregaray,Mona,3
Glutton,Vereena,3
Ciri,Dorregaray,3
Glutton,Roach,3
Freya,Herwig,3
Glutton,Nivellen,3
Geralt of Rivia,Menno Coehoorn,3
Chireadan,Triss Merigold,3
Eurneid,Jarre,3
Willem,Yarpen Zigrin,3
Freya,Willem,3
Geralt of Rivia,Skomlik,3
Aine Dermott,Yennefer,3
Iskra,Skomlik,3
Falka,Geralt of Rivia,3
Jarre,Katje,3
Boreas Mun,Yennefer,3
Boholt,Villentretenmerth,3
Aridea,Geralt of Rivia,3
Ori Reuven,Yennefer,3
Codringher,Milva,3
Radcliffe,Yennefer,3
Geralt of Rivia,Radcliffe,3
Borg,Caldemeyn,3
Margarita Laux-Antille,Sheala de Tancarville,3
Aplegatt,Heimo Kantor,3
Akerspaark,Argentina,3
Bernie Hofmeier,Falka,3
Kelpie,Sandy Frogmorton,3
Jarre,Menno Coehoorn,3
Ardal aep Dahy,Vattier de Rideaux,3
Dacre Silifant,Stigward,3
Julia Abatemarco,Pike,3
Codringher,Roegner,3
Wilfli,Yennefer,3
Ithlinne,Nenneke,3
Ceallach,Fringilla Vigo,3
Aplegatt,Emhyr var Emreis,3
Aevenien,Yennefer,3
Condwiramurs,Triss Merigold,3
Eudora,Zoltan Chivay,3
Bronibor,Ciri,3
Asse,Mistle,3
Edmund Bumbler,Jean La Voisier,3
Esterad Thyssen,Meve,3
Esterad Thyssen,King,3
Geralt of Rivia,Veverka,3
Tankred Thyssen,Zuleyka,3
Vissegerd,Wieldhill,3
Meve,Niedamir,3
Cregennan,Philippa Eilhart,3
Cregennan,Goidemar,3
Falka,Sabrina Glevissig,3
Crach an Craite,Henselt,3
Lucienne,Two,3
Istvan Igalffy,Orestes Kopps,3
Kees van Lo,Ramon Tyrconnel,3
Ciri,Morenn,3
Geralt of Rivia,Yirrel,3
Essi Daven,Juan Pablo Vassermiller,3
Benda,Milan,3
Brick,Ciri,3
Eurneid,Fabio Sachs,3
Holofernes,Okultich,3
Fitz-Oesterlen,Philippa Eilhart,3
Geralt of Rivia,Vitek,3
Regan Dahlberg,Yannick Brass,3
Cahir,Dheran,3
Milva,Something,3
Emhyr var Emreis,Falka,3
Falka,Valdez,3
Ciri,Roderick de Novembre,3
Aelirenn,Yarpen Zigrin,3
Draig Bon-Dhu,Vissegerd,3
Iola the Second,Yaevinn,3
Draig Bon-Dhu,Rainfarn,3
Vysogota,Yennefer,3
Amaranth,Stavro,3
Baron,Windsor Imbra,3
Falka,Ola Harsheim,3
Vell,Yurga,3
Vesemir,Visenna,3
Geralt of Rivia,Lucas Corto,3
April,Vilgefortz,3
Henselt,Philippa Eilhart,3
Filavandrel,Foltest,3
Marti,Vilgefortz,3
Esterad Thyssen,Lydia van Bredevoort,3
Vattier de Rideaux,Xarthisius,3
Two,Valdo Marx,3
Condwiramurs,Jarre,3
Assire var Anahid,Nimue,3
Virginia,Yennefer,3
Fringilla Vigo,Fulko Artevelde,3
Anna Henrietta,Pavetta,3
Malatesta,Reynart de Bois-Fresnes,3
Geralt of Rivia,Iola the Second,3
Ciri,Cregennan,3
Geralt of Rivia,Guy de Bois-Fresnes,3
Dandelion,Reynart de Bois-Fresnes,2
Galahad,Lady,2
Errdil,Neville,2
Two,Virginia,2
Anna Tiller,Auberon Muircetach,2
Carduin,Marti,2
Carduin,Vilgefortz,2
Carduin,Tissaia de Vries,2
Filavandrel,Vilgefortz,2
Bode,Digod,2
Tissaia de Vries,Vizimir,2
Atlan Kerk,Yurga,2
Chloe Stitz,Rispat La Pointe,2
Lambert,Two,2
Triss Merigold,Vanielle,2
Anzelm Aubry,Shani,2
Connor,Geralt of Rivia,2
Aelirenn,Geralt of Rivia,2
Muskrat,Vysogota,2
Chloe Stitz,Dacre Silifant,2
Baron,Ciri,2
Gruzila,Rience,2
Dandelion,Rience,2
Brick,Junghans,2
Draig Bon-Dhu,Windhalm of Attre,2
Boreas Mun,Vilgefortz,2
Adam Pangratt,Menno Coehoorn,2
Fiona,Yennefer,2
Bronik,Ciri,2
Connor,Yennefer,2
Ori Reuven,Rience,2
April,Dagorad,2
Triss Merigold,Yannick Brass,2
Vilgefortz,Xarthisius,2
Effenberg,Emhyr var Emreis,2
Calanthe,Cerro,2
Falka,Goulue,2
Emhyr var Emreis,Esteril Thyssen,2
Carthia van Canten,Menno Coehoorn,2
Cahir,Seven,2
Aevenien,Francesca Findabair,2
Mistle,Servadio,2
Lara Dorren,Yennefer,2
Daniel Etcheverry,Emhyr var Emreis,2
Adam Pangratt,Henselt,2
Draig Bon-Dhu,Lord Strept,2
Henselt,Radovid III,2
Meve,Virfuril,2
Henselt,Niedamir,2
Aen Saevherne,Cregennan,2
Drogodar,Rainfarn,2
Barclay Els,Julia Abatemarco,2
Ciri,Corbett,2
Adalia,Assire var Anahid,2
Crispin,Sabrina Glevissig,2
Geralt of Rivia,Homer Straggen,2
Draakul,Geralt of Rivia,2
Milo Vanderbeck,Pike,2
Foltest,Shilard,2
Nivellen,Primula,2
Nenneke,Yves,2
Nivellen,Venimira,2
Butcher,Nenneke,2
Fercart,Geralt of Rivia,2
Margarita Laux-Antille,Vilgefortz,2
Lutz,Vercta,2
Baron,Skomlik,2
Count Broinne,Vilgefortz,2
Eurneid,Milo Vanderbeck,2
Ograbek,Okultich,2
Pavetta,Wieldhill,2
Gosta,Triss Merigold,2
Joanna Selborne,Vilgefortz,2
Joanna Selborne,Ola Harsheim,2
Radcliffe,Villentretenmerth,2
Aplegatt,Vizimir,2
Cairbre aep Diared,Toruviel,2
Giselher,Tuzik,2
Fabio Sachs,Molnar Giancardi,2
Blasco Grant,Elkana Foster,2
Ciri,Roegner,2
Emhyr var Emreis,Zoltan Chivay,2
Dennis Cranmer,Julia Abatemarco,2
Gaudemunda,Guiscard Vermuellen,2
Geralt of Rivia,Gerard,2
Sulimir,Vimme Vivaldi,2
Duke,Zelest,2
Incarvilia Hildebrandt,Ograbek,2
Ciri,Dennis Cranmer,2
Aen Saevherne,Fringilla Vigo,2
Ida,Philippa Eilhart,2
Fifteen,Geralt of Rivia,2
Anzelm Aubry,Geralt of Rivia,2
Fringilla Vigo,Merlin,2
Yennefer,Zoltan Chivay,2
Ciri,Daniel Etcheverry,2
Ihuarraquax,Triss Merigold,2
Ciri,Muriel,2
Geralt of Rivia,Kennet,2
Goidemar,Klaproth,2
Marti,Yennefer,2
Falka,Yennefer,2
Geralt of Rivia,Nohorn,2
Sh'eenaz,Sulivoy,2
Geoffrey Monck,Giambattista,2
Henselt,Sheala de Tancarville,2
Flourens Delannoy,Milva,2
Triss Merigold,Vysogota,2
Hjalmar,Pavetta,2
Falka,Til Echrade,2
Dandelion,Pike,2
Falka,Scarra,2
Falka,Rience,2
Ithlinne,Vilgefortz,2
Codringher,Emhyr var Emreis,2
Kees van Lo,Ouder de Wyngalt,1
Elan Trahe,Zyvik,1
Blenheim Blenckert,Marti,1
Hrafnir,Mansfeld,1
Morvran Voorhis,Tissaia de Vries,1
Fercart,Rience,1
Ciri,Seven,1
Meve,Philippa Eilhart,1
Berengar Leuvaarden,Shilard,1
Geralt of Rivia,Wolfgang Amadeus Goatbeard,1
Geralt of Rivia,Radovid III,1
Boreas Mun,Philippa Eilhart,1
Cahir,Vesemir,1
Ciri,Paulie Dahlberg,1
Foltest,Nitert,1
Jarre,Zyvik,1
Adam Pangratt,Shani,1
Barclay Els,Two,1
Esterhazy,Ola Harsheim,1
Caleb Stratton,Jarre,1
Aelirenn,Ciri,1
Ouder de Wyngalt,Shani,1
Effenberg,Jan Calveit,1
Falka,Joanna Selborne,1
Istvan Igalffy,Vascoigne,1
Assire var Anahid,Lara Dorren,1
Lamarr Flaut,Liam,1
Ebbing,Henselt,1
Kelpie,Nimue,1
Berengar Leuvaarden,Vattier de Rideaux,1
Effenberg,Flourens Delannoy,1
Jarre,Toruviel,1
Myhrman,Vilgefortz,1
Boreas Mun,Meve,1
Shani,Two,1
Esterad Thyssen,Vizimir,1
Rience,Vissegerd,1
Myhrman,Two,1
Myhrman,Toublanc Michelet,1
Morenn,Venzlav,1
Effenberg,Zoltan Chivay,1
Milva,Vattier de Rideaux,1
Albrich,Fringilla Vigo,1
Lytta Neyd,Triss Merigold,1
Crach an Craite,Philippa Eilhart,1
Buyvid Backhuysen,Yennefer,1
Menno Coehoorn,Vattier de Rideaux,1
Pike,Vimme Vivaldi,1
Baron,Calanthe,1
Caleb Stratton,Milva,1
Geralt of Rivia,Gerhart,1
Fabio Sachs,Leila,1
Nohorn,Renfri,1
Geralt of Rivia,Lady,1
Julia Abatemarco,Okultich,1
Dennis Cranmer,Evangelina Parr,1
Fitz-Oesterlen,Francesca Findabair,1
Milva,Toruviel,1
Ola Harsheim,Stefan Skellen,1
Ciri,Yuz Jannowitz,1
Eltibald,Geralt of Rivia,1
Klara Larissa de Winter,Yanna of Murivel,1
Herbert Stammelford,Vilgefortz,1
Eyck of Denesle,Villentretenmerth,1
Akerspaark,Roegner,1
Falka,Tissaia de Vries,1
Lydia van Bredevoort,Sabrina Glevissig,1
Goidemar,Jarre,1
Something,Two,1
Geralt of Rivia,Merle,1
Crach an Craite,Herwig,1
Roach,Vereena,1
